,Title,Year,Plot,Rating,Budget,Cast,MPA Rating,Directors,Distributors,Producers,Genre,Runtime in Minutes
68,19. In from the Side,2022,"Following a drunken encounter, two equally attached men from a cash strapped and divided gay rugby club unwittingly sleepwalk into an adulterous affair but must conceal their growing feelings or risk destroying the club they love. When an injured player from the A-team is selected to play with the Bs as part of his recovery, tensions are already high. Initial suspicion turns to physical lust for two of the team members and personal loyalties are stretched as they try to conceal the affair, not only from their own partners but also their teammates. Alexander Lincoln and Alexander King give magnetic performances as the lovers, alongside an excellent ensemble cast. Hard drinking and macho antics are par for the course amongst the team, but these bulky athletes soon reveal their vulnerabilities. Even if you've never played rugby, or even had a taste for it, you'll be drawn into the drama of these young men. Prepare yourself for a muddy, sweat-drenched emotional thrill ride.—Brian Robinson Minute for minute, you won't find a more handsome-packed film this year than British rugby drama In from the Side, a surprisingly moving sports-team story slathered in sweat, streaked with mud, and dripping with sexuality. As a ""B Squad"" of gay athletes tries to overcome inexperience and push past rivalries to score an elusive win, a secret affair simmers among them. Romantic Mark (puppy-eyed Alexander Lincoln) finds himself unable to avoid the blazing appeal of teammate Warren (Alexander King), who sets off every red (or in rugby, yellow) flag: the cocky attitude, the emotional unavailability, the long-term boyfriend. In From The Side dives deep into rugby-half macho battlefield, half tender brotherhood-but don't sweat the rules (or ""laws,"" which even the sport's fans find impenetrable): the real drama occurs off the field as infidelities, heartbreak, and unimpeded passions rule the day. A triumph for director Matt Carter-who shot, edited, co-wrote, and composed the music-In from the Side infuses every vivid frame with heat.—K.M. Soehnlein",6.7,N/A,"Alexander Lincoln,Alexander King,William Hearle,Alex Hammond,Pearse Egan,Christopher Sherwood,Chris Garner,Peter McPherson,Ivan Comisso,Carl Loughlin,Mary Lincoln,Nigel Fairs,Tom Murphy,Franck Assi,Kane Surry,Magnus Soby,Melissa Dalton,Bryan Verster,Eden Hannam,Jeff Wilson,Jamie Green,Zane Gambasin,Toby Horner,Adam Silver,Steve Brockman,Diana Govina,Robbie Main",Unrated,Matt Carter,"Cinemien,Lev Cinemas,Optimale,Strand Releasing,Tongariro Releasing,Verve Pictures,Filmin,Palace Cinemas,Verve Pictures",Take A Seat Pictures,"Drama,Romance,Sport",134
69,20. Infinite Storm,2022,"When a climber gets caught in a blizzard, she encounters a stranded stranger and must get them both down the mountain before nightfall. As an experienced climber (Naomi Watts) ascends Mt. Washington, she turns back before she reaches the summit as a huge blizzard approaches. But on her way down, she encounters a lone, stranded man, and takes it upon herself to get them both down the mountain before nightfall arrives and they succumb to the storm. Based on a true story.",5.3,N/A,"Naomi Watts,Billy Howle,Denis O'Hare,Parker Sawyers,Eliot Sumner,Joshua Rollins,Arya Petric,Lina Kolenko,Kaja Dolenc,Alja Gacnik,Brina Merhar,Karin Putrih,Richard Faillace,Trisha Arnold",R,"Malgorzata Szumowska,Michal Englert","Bleecker Street Media,Sony Pictures Worldwide Acquisitions (SPWA),Amazon Instant Video,Bleecker Street Media,Google Play,MagentaTV,Maxdome Store,Maxdome,Rakuten TV,Sky Cinema Best Of,Sky Cinema Premiere,Sky Cinema Premieren +24,Sky Cinema Premieren,Sky Cinema Thriller,Sky Cinema Transformers,Sky Go,Stage 6 Films,Videoload,WOW,Youtube Filme & TV,iTunes","Maven Screen Media,JamTart Productions,ORKA,Polski Instytut Sztuki Filmowej,dFlights","Drama,Thriller",97
70,21. Gone in the Night,2022,"When Kath and her boyfriend arrive at a remote cabin in the redwoods, they find a mysterious younger couple already there. Her boyfriend disappears with the young woman, and Kath becomes obsessed with finding an explanation. Upon arriving at a remote cabin in the redwoods, Kath and her boyfriend find a mysterious younger couple already there - the rental has apparently been double-booked. With nowhere else to go, they decide to share the cabin with these strangers until the next morning. When her boyfriend disappears with the young woman, Kath becomes obsessed with finding an explanation for their sudden breakup- but the truth is far stranger than she could have imagined. Eager to rekindle their relationship, plant enthusiast Kath and her younger boyfriend Max go away for the weekend to a secluded cabin deep into the Redwoods. But there, a surprise in the shape of mysterious Al and Greta awaits. As Max and Kath reluctantly share the lodge for the night, unsettling pleasantries and feeble attempts to break the ice evolve into sheer awkwardness with a hint of jealousy, and right under everyone's noses, Max and Greta go missing. However, Kath needs to know. Have the two run off together after a sleepless night of wild fun?—Nick Riganas",4.9,N/A,"Winona Ryder,Dermot Mulroney,John Gallagher Jr.,Owen Teague,Brianne Tju,Yvonne Senat Jones,Alain Uy,Dustin Ingram,Kunal Prasad,Nina E. Jordan,Sedrick Cabrera,Eugene Magana,Chesi Ho,David B. Schively",R,Eli Horowitz,Vertical Entertainment,"BoulderLight Pictures,MM2 Asia,Post Film,SSS Entertainment","Mystery,Thriller",90
71,22. Panama,2022,"An ex-marine is hired by a defense contractor to travel to Panama to complete an arms deal. In the process he becomes involved with the U.S. invasion of Panama, and learns an important lesson about the true nature of political power. Inspired by true events. In wild 1989 Panama, James Becker, a rugged, decorated ex-marine, is sent undercover by his former commander Stark to execute a high-value deal with dangerous adversaries he can't trust. While navigating through the chaos of the local civil war, Becker must fight assassins, court femmes fatales and negotiate with the enemy in order to complete his mission. With Stark always by his side, Becker must persevere against all odds in hopes of making it home alive.—Anonymous",3.5,N/A,"Cole Hauser,Mel Gibson,Mauricio Hénao,Kiara Liz,Charlie Weber,Kate Katzman,Victor Turpin,Néstor Rodulfo,Jai Stefan,Julio Ramos Velez,Jackie Cruz,Junior Álvarez,Joksan Ramos,Jorge Antares,Jeremy Chico Moya,Allison Salinas,Alexa Cruz,Rebeca Valentín,Julia Sandstrom,Haydie M. Diaz,Hector D. Rivera,Ronal Tejada,Edwin E. Rodríguez Montanez,Luis Raúl Alcocer,Priscilla Huggins Ortiz,Ramon Rivera,Xavier Reyes,Jonathan Castellano,Ramon Vázquez,George Bush,Luca De Massis,Ramiro 'Ramir' Delgado Ruiz,Simon Phillips,Jean Pierre Prats",R,Mark Neveldine,"Saban Films,Highland Film Group (HFG),Exponenta,Cinemundo,Dutch FilmWorks (DFW),Dutch FilmWorks (DFW),Dutch FilmWorks (DFW),EuroVideo,EuroVideo,Exponenta,Madman Entertainment,Youplanet Pictures","T-Pro,Yale Productions,SSS Entertainment,SSS Film Capital,BondIt Media Capital,Head Gear Films,Metrol Technology,LB Entertainment,Do More Productions,Grandave Capital,Idiot Savant Pictures","Action,Thriller",95
72,23. Spin Me Round,2022,"A woman wins an all-expenses-paid trip to a company's gorgeous ""institute"" outside of Florence, and also the chance to meet the restaurant chain's wealthy and charismatic owner. She finds a different adventure than the one she imagined.",5.2,N/A,"Alison Brie,Jake Picking,Stella Chesnut,Lil Rel Howery,Ego Nwodim,Alessandro Nivola,Ben Sinclair,Molly Shannon,Ayden Mayeri,Zach Woods,Tim Heidecker,Debby Ryan,Lauren Weedman,Aubrey Plaza,Andrea Bertucci,Valentina Chisci,Fred Armisen,Camillo Pardi,Valentina Oteri,Tricia Helfer,Mileece I'Anson,Alessandro Bertolucci,Antonio Fazio",Unrated,Jeff Baena,"IFC Films,AMC+,HBO Polska","Duplass Brothers Productions,Limelight","Comedy,Romance",104
73,24. Soft & Quiet,2022,"Playing out in real time, an elementary school teacher organizes a mixer of like-minded women, when she encounters a woman from her past, leading to a volatile chain of events. The thriller, which plays out in real time, follows a single afternoon in the life of an elementary school teacher as she organizes a mixer of like-minded women. When the group heads home, the teacher encounters a woman from her past, leading to a volatile chain of events.—Beth de Araújo",6.2,N/A,"Stefanie Estes,Olivia Luccardi,Dana Millican,Melissa Paulo,Eleanore Pienta,Cissy Ly,Jon Beavers,Jayden Leavitt,Shannon Mahoney,Rebekah Wiggins,Josh Peters,Nina E. Jordan,Jovita Molina",R,Beth de Araújo,"Momentum Pictures,Viva International Pictures,Alambique Filmes,Elite Filmes,Front Row Filmed Entertainment,Monolith Films,New Select K.K.,NonStop Entertainment","Blumhouse Productions,Second Grade Teacher","Drama,Horror,Thriller",92
74,25. Sissy,2022,"Teen best friends Cecilia and Emma run into each other after a decade. Cecilia is invited to Emma's bachelorette weekend, where she gets stuck in a remote cabin with her high school bully and gets a taste for revenge. Cecilia (aka Sissy) is a successful social media influencer living the dream, until she runs into her ex-childhood best friend and is invited away on her bachelorette weekend. Suddenly Sissy finds herself stuck in a remote cabin with her school bully...and a taste for revenge. #triggered.—Arcadia",6.1,N/A,"Aisha Dee,Hannah Barlow,Emily De Margheriti,Daniel Monks,Yerin Ha,Lucy Barrett,Shaun Martindale,April Blasdall,Camille Cumpston,Amelia Lule,Louise Barlow,Melissa Brownlow,Victoria Hopkins,Darcie Irwin-Simpson,Jared Jekyll,Toni Kola,Shannon Lawson,Adam McMahon,Alea O'Shea,Ryan Panizza,Neil Parikh,Will Prenzler,Courtney Roach,Kaley Roach,Michael Slater",Not,"Hannah Barlow,Kane Senes","Arthouse Traffic,Madman Entertainment,Arcadia,Madman Entertainment,Plaion Pictures,Plaion Pictures,Shudder,Tiger House","Arcadia,DEMS Entertainment,Dog Park Pictures","Comedy,Drama,Horror,Romance,Thriller",102
75,1. The Northman,2022,"A young Viking prince is on a quest to avenge his father's murder. The Viking Age. With a mind aflame with hate and revenge, Prince Amleth, the wronged son of King Aurvandill War-Raven, heads to cold, windswept Iceland to retrieve what was stolen from him: a father, a mother, and a kingdom. And like a war dog picking up the enemy's scent, brutal Amleth embarks on a murderous quest to find the hateful adversary, whose life is forever woven together with his by the threads of fate. Now, in the name of Valhalla, no one can stop the Northman, not even God.—Nick Riganas",7.0,"$90,000,000 (estimated)","Alexander Skarsgård,Nicole Kidman,Claes Bang,Ethan Hawke,Anya Taylor-Joy,Gustav Lindh,Elliott Rose,Willem Dafoe,Phill Martin,Eldar Skar,Olwen Fouéré,Edgar Abram,Jack Gassmann,Ingvar Sigurdsson,Oscar Novak,Jack Walsh,Björk,Ian Whyte,Katie Pattinson,Andrea O'Neill,Rebecca Ineson,Kate Dickie,Ísadóra Bjarkardóttir Barney,Kevin Horsham,Seamus O'Hara,Scott Sinclair,Tadhg Murphy,James Yates,Hafþór Júlíus Björnsson,Ian Gerard Whyte,Ralph Ineson,Murray McArthur,Nille Glæsel,Jonas Lorentzen,Magne Osnes,Ineta Sliuzaite,Finn Lafferty,Jon Campling,Helen Roche,Faoileann Cunningham,Gareth Parker,Mark Fitzgerald,Gavin Peden,Joel Hicks,Chris Finlayson,Eric Higgins,Matt Symonds,Luca Evans,James Harper-Jones,Thomas Harper-Jones,Sheila Flitton,Lily Bird,Adam Basil,Robin Carolan,Christopher Gibson,Sam Hanson,Jack Jagodka,Michael McGeown,Mark P. O'Connor,Peter Vamos",R,Robert Eggers,"Focus Features,United International Pictures (UIP),Universal Pictures International (UPI),Universal Pictures,Cinemundo,Finnkino,Tulip Entertainment,United International Pictures (UIP),United International Pictures,Universal Pictures Argentina,Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures International (UPI),SF Film Finland,Studio Distribution Services (SDS),Studio Distribution Services (SDS),Studio Distribution Services (SDS),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Starz,Zweites Deutsches Fernsehen (ZDF),Amazon Prime Video,Apple TV+,Peacock","Focus Features,Regency Enterprises,Perfect World Pictures,New Regency Productions,Square Peg","Action,Adventure,Drama,Fantasy,History,Thriller",137
76,2. Fantastic Beasts: The Secrets of Dumbledore,2022,"Albus Dumbledore knows that Gellert Grindelwald is moving to take control of the wizarding world. Unable to stop him alone, he asks Newt Scamander to lead an intrepid team on a dangerous mission. Professor Albus Dumbledore knows the powerful Dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts Magizoologist Newt Scamander to lead an intrepid team of wizards, witches and one brave Muggle baker on a dangerous mission, where they encounter old and new beasts and clash with Grindelwald's growing legion of followers. But with the stakes so high, how long can Dumbledore remain on the sidelines?—Warner Bros 1932. Thirsty for ultimate power over the Muggles and the entire Wizarding World, dark sorcerer Gellert Grindelwald and his inner circle of loyal followers have been planning their next move since the events of Fantastic Beasts: The Crimes of Grindelwald (2018). As a result, with young Professor Albus Dumbledore unable to make a move against Grindelwald, Newt Scamander's hand-picked team of brave wizards embarks on a peril-laden mission to thwart sinister Grindelwald's plan to seize power. But this is a race against time. Can Dumbledore's finest be one step ahead and beat Grindelwald at his own game?—Nick Riganas",6.2,"$200,000,000 (estimated)","Jude Law,Cara Mahoney,Mads Mikkelsen,Eddie Redmayne,Katherine Waterston,Poppy Corby-Tuech,Maja Bloom,Ezra Miller,Paul Low-Hang,Alison Sudol,Callum Turner,Richard Coyle,Dan Fogler,Jessica Williams,Wilf Scolding,Kazeem Tosin Amore,Noor Dillan-Night,William Nadylam,Victoria Yeates,Manuel Klein,Alexander Kuznetsov,Oliver Masucci,Valerie Pachner,Ramona Kunze-Libnow,Dave Wong,Maria Fernanda Cândido,Lucas Englander,Fiona Glascott,Jan Pohl,Matthias Brenner,Peter Simonischek,Jacqueline Boatswain,David Bertrand,Stefan Race,Jessica Cartledge,Radha Sthanakiya,Isabelle Coverdale,Dónal Finn,Jeremy Azis,Elizabeth Back,Hebe Beardsall,Paul Candelent,Nick Davison,Winston Hayles,Pippa Hurley,Emilia Karlsson,Tianyi Kiy,Johnny Li Gotti,Eugene Lin,Martyn Mayger,Tony McCarthy,Cormac O'Shea,Nick Owenford,Paul Parker,Jag Patel,Roy 'Tony' Pickering,Mimi Pitakworraratana,Martin Polak,Bo Ponomari,Richard Price,Amore Psiche,Phil Reeve,Chris Robb,Lucy Ross,Sam Shoubber,Sean Talo,David Thrower,Jessica Wai Sum Tong",PG-13,David Yates,"Warner Bros.,Warner Bros. Pictures,Warner Bros.,Warner Bros. Pictures,Warner Bros.,Cinemundo,HKC Entertainment,Tanweer Alliances,Warner Bros. Pictures Germany,Warner Bros. Pictures Mexico,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Singapore,9Go!,Amazon Studios,HBO Max,Studio Distribution Services (SDS),Studio Distribution Services (SDS),Studio Distribution Services (SDS),Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment","Warner Bros.,Heyday Films","Adventure,Fantasy",142
77,3. Memory,2022,"An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. Alex Lewis (Liam Neeson) is an expert assassin with a reputation for discreet precision. Caught in a moral quagmire, Alex refuses to complete a job that violates his code and must quickly hunt down and kill the people who hired him before they and FBI agent Vincent Serra (Guy Pearce) find him first. Alex is built for revenge but, with a memory that is beginning to falter, he is forced to question his every action, blurring the line between right and wrong.",5.7,"$30,000,000 (estimated)","Liam Neeson,Guy Pearce,Taj Atwal,Harold Torres,Ray Fearon,Monica Bellucci,Ray Stevenson,Mia Sanchez,Daniel De Bourg,Natalie Anderson,Rebecca Calder,Scot Williams,Doug Rao,Atanas Srebrev,Lee Boardman,Stella Stocker,Josh Taylor,Vladimir Mihaylov,Josh Macrena,JR Esposito,Antonio Jaramillo,Tudor Chirila,Sofia Soltess,Lyubomir Bachvarov,Sigal Diamant,Mariana Krumova,Dana Velinova,Kate Nichols,Neda Spasova,Devina Vassileva,Dee,Raluca Aprodu,Michael Robertson,Louis Mandylor,Kalina Stancheva,Rosen Kovachev,Trevor Van Uden,Kent Sherwood,Robert Kelty,Clayton Shane,Alex Apostle,Jefrey Soltess,Emilia Klayn,Sol E. Romero,Petar Kirilov,Dimitar Sulev,Iliyana Koleva,Ralitsa Popova,Ryan Pethrow,Ivan Rangelov,Jake Tapper,Odisey Tsvetkov",R,Martin Campbell,"Briarcliff Entertainment,Open Road Films (II),TME Films,Diamond Films,Diamond Films,Elevation Pictures,Golden Village Pictures,HKC Entertainment,Kinomania,MDfilm,Odeon,SF Film Finland,The Searchers,Cinemundo,Diamond Films España,Film1,Remain In Light,Remain In Light,Splendid Film,Splendid Film,Splendid Film,Studio Distribution Services (SDS),Studio Distribution Services (SDS),Studio Distribution Services (SDS),The Searchers,Top Film Distribution,Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE)","Briarcliff Entertainment,Open Road Films (II),Black Bear,Welle Entertainment,Saville Productions","Action,Crime,Thriller",114
78,4. Downton Abbey: A New Era,2022,The Crawleys go on a grand journey to the south of France to uncover the mystery of the Dowager Countess' newly inherited villa.,7.4,"$40,000,000 (estimated)","Allen Leech,Tuppence Middleton,Eva Samms,Karina Samms,Imelda Staunton,Fifi Hart,Oliver Barker,Zac Barker,Elizabeth McGovern,Hugh Bonneville,Michelle Dockery,Samantha Bond,Laura Carmichael,Harry Hadden-Paton,Penelope Wilton,Douglas Reith,Phyllis Logan,Jim Carter,Robert James-Collier,Joanne Froggatt,Brendan Coyle,Lesley Nicol,Sophie McShera,Michael Fox,Kevin Doyle,Raquel Cassidy,Charlie Watson,Bibi Burr,Olive Burr,Archer Robbins,Maggie Smith,Sue Johnston,Jonathan Coy,Hugh Dancy,Paul Copley,Laura Haddock,Dominic West,Jonathan Zaccaï,Nathalie Baye,Alex Skarbek,Olivier Claverie,David Olivier Fischer,Alex Macqueen,Ross Green,Cherise Adams-Burnett,Joshua Eldridge-Smith,Victoria Hanlon-Martinez,Mark Joslin,Lewis Kennedy,Dave Perry,Josselyn Ryder,Laura Schofield,Jenny Wall,David Robb,Georgie Banks,Stephane Fichet,Charlie Fiske,Steevan Glover,Richard Gowen,Mike Newbold,Hugh O'Brien,Nick Owenford,Richard Rumble,Dave Simon,Darren Sinden,David Thrower,Grace Truly,Julie Williamson,Jessica Zhou",PG,Simon Curtis,"Focus Features,Cinemundo,Tulip Entertainment,United International Pictures (UIP),United International Pictures,Universal Pictures Argentina,Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures,Amazon Prime Video,Apple TV+,Peacock,Starz,Studio Distribution Services (SDS),Studio Distribution Services (SDS),Studio Distribution Services (SDS),Studio Distribution Services (SDS),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment","Focus Features,Carnival Film & Television","Drama,Romance",124
79,5. Father Stu,2022,"Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.",6.5,"$4,000,000 (estimated)","Mark Wahlberg,Mel Gibson,Jacki Weaver,Teresa Ruiz,Aaron Moten,Cody Fern,Malcolm McDowell,Carlos Leal,Jack Kehler,Alain Uy,Tenz McCall,Annet Mahendru,Patricia Belcher,Niko Nicotera,Tony Amendola,Valente Rodriguez,Colleen Camp,Winter Ave Zoli,De'aundre Bonds,Anthony Thomas,Brian Ortega,Lawrence Duran,Bo Cleary,Eric Weinstein,Jim Holmes,Betsy Moore,Davey Johnson,Chad Randall,Tim Sitarz,Rudy Moreno,Michael Fairman,Molly Baker,Nick Mead,Indie DesRoches,Lily Villegas,Chiquita Fuller,Roberto Montesinos,Ronnie Gene Blevins,Danielle K. Golden,Annie Lee,Sharmila Devar,Sean O'Reilly,Ned Bellamy,James Flavin,Penny L. Moore,Jorge-Luis Pallo,Clay Wilcox,Lila Karp-Ziring,Steve Olson,Dennis Keiffer,Travis Wong,Noah Arrue,Larry Bagby,Alan Bagh,Vincent M. Biscione,Tyler Burke,Kyle Burnett,Brandon A. Davis,Karman Graham,Ryan Hafron,Skip Howland,Mathew Trent Hunnicutt,James Hunter,Jacob Allen Inman,Faith Jefferies,Bryan Kreutz,Mariah Maison,Johnny Mansbach,Pino Martinez,Luke Matheis,Orion McCabe,Harry L. Michaels Jr.,Marcello Padilla,Zack Palmisano,Pablo Ramos,Crystal Richards,Kyle Samples,Jose J Santana,Alonso Saravia,Bruce Van Norman",R,Rosalind Ross,"Columbia Pictures,Sony Pictures Releasing,Sony Pictures Releasing,Eagle Pictures,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Vertigo Média Kft.,7flix","CJ Entertainment,Municipal Pictures,Palm Drive Productions","Biography,Drama",124
80,6. All the Old Knives,2022,"In Vienna, Veteran CIA agent Henry is reunited with his former colleague and lover Celia. CIA agent Henry is tasked by his supervisor Vick to close an eight-year-old hijacking case that ended in tragedy. Vick has recently learned that there is a suspected mole who helped give the perpetrators information to impede the rescue attempt of the passengers. Being cleared by Vick, Henry is sent to interview his former colleague and lover Celia, a possible suspect due to her abrupt departure from the CIA the day after the hijacking. Celia, now married and retired, meets Henry in a California restaurant after he reaches out to her and asks her to dinner. Through multiple perspectives, timelines, and interviews, Henry, Vick, and Celia hope to find out what actually happened that day.—madnbryant Two CIA agents and ex-lovers (Chris Pine and Thandiwe Newton) are brought back together years after a failed rescue attempt and forced to blur the lines between profession and passion in this deeply-riveting tale of global espionage, moral dilemma, and deadly betrayal.—ashiqzabal A plane is hijacked by terrorists. CIA is involved and tries to remedy the situation but ultimately fails. After eight years the case is reopened due to suspicion that there was a leak within the CIA at the time of the hijacking. An operative is sent to find the mole.—Maverick-72",6.1,N/A,"Goksin Erdemli,Kasia Madera,Chris Pine,Thandiwe Newton,Laurence Fishburne,Jonathan Pryce,Ahd,Jonjo O'Neill,Abdul Alshareef,David Dawson,David Bedella,Oscar Coleman,Cali Gayle,Joshua Lacey,Gala Gordon,Dar Dash,David Appleton,Barbara Appleton,Michael Shaeffer,Faton Gerbeshi,Derek Siow,Moe Idris,Todd Kramer,Karina Wiedman,Alexander Devrient,Abdi-Fatah Ali,Orli Shuka,Anna Jones,Angela Yeoh,Nasser Memarzia,Colin Stinton,Adrian Tauss,Corey Johnson,Absar Abbasi,Yassine Anaddam,Stuart Cooke,Ria Fend,Zafar Hashmi,Metin Hassan,Pippa Hurley,Gwen Hussein,Nasir Jama,Rick Klink,India Raqia-Walker,Alex Rose,Christian Sanderson,Stella Stocker,Sue-Lynn,Richard Sutar",R,Janus Metz,"Amazon Prime Video,GEM Entertainment,Amazon Prime Video,Ascot Elite Entertainment Group","Amazon Studios,Barry Linen Motion Pictures,Big Indie Pictures,Chockstone Pictures,Churchill Films,Entertainment One,Jackson Pictures,Nick Wechsler Productions,The Mark Gordon Company","Mystery,Thriller",101
81,7. Corrective Measures,2022,"In the world's most dangerous maximum security prison filled with supervillain inmates and corrupt staff, tensions rise leading to anarchy and destruction.",4.3,N/A,"Michael Rooker,Tom Cavanagh,Brennan Mejia,Kevin Zegers,Dan Payne,Celia Aloma,Hayley Sales,Kat Ruston,Matthew Kevin Anderson,Daniel Cudmore,Malcolm Sparrow-Crawford,John DeSantis,Doug Bradley,Violet Rain,Chris Wood,Brad Proctor,Chris Devitt,Jessie Chima,Richard Simpson,Vladimir Ruzich,Luke Camilleri,Jasmine Bala,Joe Perkins,Taylor Tai,Nelson Conway,Sean Patrick O'Reilly,Bruce Willis,Tyson Arner",TV-MA,Sean Patrick O'Reilly,"Amazon Instant Video,Falcon Films,Galactic Stream,Google Play,MagentaTV,Maxdome Store,Maxdome,Plaion Pictures,Plaion Pictures,Plaion Pictures,Program Store,Rakuten TV,Remain In Light,Remain In Light,Sky Store,The Exchange,Tubi TV,Umbrella Entertainment,Videoload,Volga,Youtube Filme & TV,iTunes","Arcana Productions,Arcana Studio,The Exchange,Tubi TV","Action,Sci-Fi",106
82,8. Metal Lords,2022,"Two friends try to form a heavy metal band with a cellist for a Battle of the Bands. The only two kids who care about heavy metal in their high school want to form a heavy metal band but fail to find a bass player. They do, however, find a girl adept at cello. If these three can settle their differences, work together, and stay out of trouble, they could win the upcoming Battle of the Bands.",6.7,N/A,"Jaeden Martell,Adrian Greensmith,Isis Hainsworth,Noah Urrea,Brett Gelman,Analesa Fisher,Michelle Mao,Phelan Davis,Austin Huynh,Joe Manganiello,Teddy van Ee,Aroon Nagappan,Kieran Thomas,Jonathan Saks,Sufe Bradshaw,Jalon Howard,Jeff Steitzer,Christopher M. Lopes,Audrey Jones,Rachel Pate,Elliot Orr,Dre Slaman,Katie O'Grady,Sami Yacob-Andrus,Liam Krug,Paige Johnson Jones,Grayson Palumbo,Chuck Klosterman,Parker Green,Kain Dracula Ashford,Joseph Peréz Bertót,David McAndie,James McAndie,Cameron Wake,Parker Hall,Jason Rouse,Christian Pereira,Kieran Gettel-Gilmartin,Cherish Hales,Scott Ian,Tom Morello,Kirk Hammett,Rob Halford,Maya Banitt,Kyle Bonn,A. Brian Daniels,Ella DeVito,Nevaeh England,Mike D Harris,Dylan Horttor,Kaleseya,Lilian McNeil,Troy Oelke,Chynna Rae Shurts,Kyle Stoltz,Shane Edward Thompson,Jenny Lam Tien,Rowan Vik,Maiah Wynne",R,Peter Sollett,"Netflix,Netflix","Bighead Littlehead,Kingsgate Productions","Comedy,Music",97
83,9. Crush,2022,"An aspiring young artist joins her high school track team and later discovers what real love feels like when she finds herself falling for an unexpected teammate. An aspiring artist and high school student who is forced, against her will, to join her high school track team. However, the situation isn't entirely bad, as it gives her an opportunity to pursue a girl that she has had a long-term crush on. However, things get even more complicated when she finds that she is falling for another teammate entirely. Soon she will see what real love feels like.",6.3,N/A,"Rowan Blanchard,Auli'i Cravalho,Isabella Ferreira,Tyler Alvarez,Teala Dunn,Rico Paris,Aasif Mandvi,Michelle Buteau,Megan Mullally,Addie Weyrich,James Tom,Addyson Tabankin,Ty DeMoya,Zoe Gandolfo,Samsara Leela Yett,Catherine McCafferty,Ryan Drake Wilson,Sam Robert Rogers,Kristin Bauer-Gross,Jess Rona,Eric Edelstein,Jonathan Campano,Lucas Ethington,Seth Fuentes,Kaitlyn McKenzie,Patrick A. Sova,Rebecca Wilk",TV-MA,Sammi Cohen,"Hulu,Hulu,Disney+,Disney+,Disney+,Disney+,Star+","Animal Pictures,3 Arts Entertainment,American High,Depth of Field,LD Entertainment","Comedy,Romance",93
84,10. Agent Game,2022,A CIA officer finds himself the target of a rendition operation after being scapegoated for the death of an interrogation subject.,4.1,N/A,"Dermot Mulroney,Adan Canto,Katie Cassidy,Annie Ngosi Ilonzeh,Rhys Coiro,Barkhad Abdi,Jason Isaacs,Mel Gibson,Mark Weinhandl,Paul Burke,Sara Areyano,Andrew Masset,Matt Riedy,Blue Kimble,Michael Flippo,Gabby Kono-Abdy,Luca De Massis,Nick DeKay,Brett Harlow,Roman Howerton,Angela Lentz,Roy Luke,Robert Bob Young",R,Grant S. Johnson,"Destination Films,Saban Films,Sony Pictures Worldwide Acquisitions (SPWA),Tubi TV","Taylor & Dodge,Project Infinity","Action,Thriller",90
